ID,FF,composition,T,Hydration,Q_FF,Q_OP,Q_OP_tails,Q_OP_heads
430,CHARMM36,310.0,40.0,POPE (1),1.3,0.444,0.3967,0.5386
299,Berger and Modified Höltje model for cholesterol,298.0,80.6,CHOL:POPC (1:1),1.2858,0.082,0.0933,0.0167
396,CHARMM36,313.15,50.0,DOPC (1),1.273,,,
512,CHARMM36,313.0,45.0,POPC (1),1.273,,,
558,CHARMM36,300.0,38.2,POPC (1),1.255,0.423,0.2948,0.6795
701,CHARMM36,298.15,50.0,POPC (1),1.255,0.4213,0.2892,0.6856
164,CHARMM36,300.0,44.4,POPC (1),1.255,0.4177,0.2896,0.6738
710,CHARMM36,298.15,50.0,POPC (1),1.255,0.4017,0.2696,0.6659
109,CHARMM36,298.15,50.0,CHOL:POPC (1:8),1.2355,,,
144,"CHARMM36 (center of mass removed independently for upper leaflet, lower leaflet and water+ions)",303.0,31.1,POPC (1),1.222,,,
563,CHARMM36,303.15,40.0,POPC (1),1.222,,,
367,CHARMM36-UA,298.0,35.0,POPS (1),1.2,0.1328,0.0868,0.2248
463,Slipids,323.0,30.0,DPPC (1),1.198,,,
504,CHARMM36,313.15,50.0,DOPC (1),1.173,,,
598,CHARMM36,313.15,50.0,DOPC (1),1.173,,,
119,CHARMM36,298.15,50.0,CHOL:POPC (1:8),1.1355,,,
426,CHARMM36,298.15,50.0,CHOL:POPC (1:8),1.1355,,,
541,CHARMM36,303.0,31.6,POPC (1),1.122,,,
123,CHARMM36,303.0,40.0,POPC (1),1.122,,,
428,CHARMM36,303.0,40.0,POPC (1),1.122,,,
301,CHARMM36,303.0,40.0,POPC (1),1.122,,,
70,CHARMM36,303.0,40.0,POPC (1),1.122,,,
90,CHARMM36 noNBFIX,303.0,45.0,POPC (1),1.122,,,
433,CHARMM36,303.0,40.0,POPC (1),1.122,,,
797,OpenFF,300.0,40.0,POPC (1),1.055,0.5887,0.5704,0.6252
497,Berger,298.0,57.0,POPC (1),1.045,0.4977,0.7327,0.0277
361,CHARMM36,303.0,40.0,POPC (1),1.022,,,
316,CHARMM36,303.15,50.0,DOPC (1),1.022,0.5558,0.5112,0.6449
281,CHARMM36,303.0,31.6,POPC (1),1.022,,,
224,CHARMM36,303.0,31.6,POPC (1),1.022,,,
462,CHARMM36,303.0,40.0,POPC (1),1.022,,,
98,CHARMM36,303.0,40.0,POPC (1),1.022,,,
310,CHARMM36,303.0,31.6,POPC (1),1.022,,,
99,CHARMM36,303.0,40.0,POPC (1),1.022,,,
554,CHARMM36,303.0,40.0,POPC (1),1.022,,,
831,C36_Slipids_Hybrid,298.0,50.0,POPC (1),0.955,0.6389,0.6286,0.6595
115,Berger,300.0,40.4,POPC (1),0.945,0.4918,0.733,0.0095
692,Slipids,298.15,50.0,CHOL:POPC (1:4),0.9258,,,
602,GAFFlipid,303.0,31.3,POPC (1),0.922,,,
47,CHARMM36,303.15,50.0,DOPC (1),0.922,0.6185,0.607,0.6416
551,CHARMM36,303.15,50.0,DOPC (1),0.922,0.5898,0.5656,0.6381
734,Charmm-Drude,303.0,50.0,POPC (1),0.922,,,
151,Berger,303.0,40.4,POPC (1),0.878,,,
30,Lipid14 with Verlet scheme,298.15,40.0,POPC (1),0.855,0.3666,0.26,0.5799
749,Charmm-Drude polarizable,303.0,31.1,POPC (1),0.822,,,
752,Charmm-Drude polarizable2023,303.0,31.1,POPC (1),0.822,,,
147,Berger lipids + Gromos 53A6,323.0,28.6,DMPC (1),0.82,,,
731,Charmm-Drude,310.0,35.0,POPE (1),0.8,0.2856,0.3987,0.0593
263,CHARMM36-UA,298.0,35.0,POPS (1),0.8,0.1701,0.1242,0.2621
425,"GROMOS-CKP, GROMOS NH3 charges and PME",298.0,35.0,POPS (1),0.8,0.4148,0.5459,0.1525
597,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",298.0,35.0,POPS (1),0.8,0.4381,0.5502,0.2137
521,Lipid17 and ff99 ions,298.0,50.0,POPS (1),0.8,0.1692,0.1856,0.1364
728,CHARMM36-LJPME,323.0,31.0,DPPC (1),0.798,,,
43,ECC-lipids,300.0,50.0,POPC (1),0.755,0.4675,0.3767,0.649
422,Chiu Gromos,298.0,27.8,POPC (1),0.755,0.2249,0.264,0.1467
830,C36_Slipids_Hybrid,298.0,50.0,POPC (1),0.755,0.717,0.7447,0.6615
664,Slipids,298.15,50.0,POPC (1),0.755,0.5565,0.5601,0.5492
305,Berger and Modified Höltje model for cholesterol,298.0,57.0,CHOL:POPC (1:15),0.7548,0.3942,0.5802,0.0222
691,Slipids,298.15,50.0,CHOL:POPC (1:4),0.7258,,,
687,Slipids,298.15,50.0,CHOL:POPC (1:4),0.7258,,,
545,Poger GROMOS 53A6_L; Reaction Field for computing electrostatics,323.0,45.6,DPPC (1),0.702,,,
535,"GROMOS-CKP, Berger/Chiu NH3 charges and PME",298.0,35.0,POPS (1),0.7,0.328,0.3902,0.2036
658,MacRog,298.15,50.0,POPC (1),0.645,0.6963,0.707,0.6749
473,"GROMOS-CKP, GROMOS NH3 charges and PME",298.0,35.0,POPS (1),0.6,0.4103,0.5529,0.1252
660,MacRog,298.15,50.0,CHOL:POPC (1:8),0.5914,,,
584,Lipid14,313.0,31.0,POPC (1),0.573,,,
204,ECC-lipids,313.0,50.0,POPC (1),0.573,,,
405,ECC-lipids,313.0,50.0,POPC (1),0.573,,,
573,ECC-lipids,300.0,50.0,POPC (1),0.555,0.5506,0.4977,0.6565
708,Slipids,298.15,50.0,POPC (1),0.555,0.5997,0.6177,0.5637
457,MacRog,300.0,40.0,POPC (1),0.545,0.6676,0.6858,0.6312
674,MacRog,298.15,50.0,POPC (1),0.545,0.665,0.6968,0.6013
675,MacRog,298.15,50.0,POPC (1),0.545,0.659,0.6605,0.6558
63,MacRog,298.0,50.0,POPC (1),0.545,0.5974,0.5853,0.6216
672,Slipids,298.15,50.0,CHOL:POPC (1:8),0.5355,,,
520,CHARMM36,293.15,50.0,DOPC (1),0.508,,,
532,CHARMM36,293.15,50.0,DOPC (1),0.508,,,
267,Poger GROMOS 53A6_L; Reaction Field for computing electrostatics,323.0,45.6,DPPC (1),0.502,,,
702,MacRog,298.15,50.0,CHOL:POPC (1:4),0.5006,,,
695,MacRog,298.15,50.0,CHOL:POPC (1:8),0.4913,,,
595,ECC-lipids,313.0,50.0,POPC (1),0.473,,,
663,Lipid17,298.15,50.0,CHOL:POPC (1:8),0.4645,,,
689,Lipid17,298.15,50.0,CHOL:POPC (1:8),0.4645,,,
696,Slipids,298.15,50.0,POPC (1),0.455,0.6426,0.669,0.5897
617,Slipids,298.0,46.8,POPC (1),0.455,0.6921,0.7281,0.6203
697,Slipids,298.15,50.0,CHOL:POPC (1:8),0.4355,,,
681,Slipids,298.15,50.0,CHOL:POPC (1:8),0.4355,,,
748,Charmm-Drude polarizable,303.0,31.1,POPC (1),0.422,,,
76,CHARMM36,293.15,50.0,DOPC (1),0.408,,,
443,"ECC-lipids, SPC water model, ECC-ions",298.0,50.0,POPS (1),0.4,0.4953,0.6622,0.1614
400,GROMOS-CKP,310.0,50.0,POPE (1),0.4,0.5323,0.651,0.2949
338,Slipids,298.0,35.0,POPS (1),0.4,0.1626,0.1717,0.1444
665,MacRog,298.15,50.0,CHOL:POPC (1:8),0.3912,,,
103,ECC-lipids,313.0,50.0,POPC (1),0.3551,,,
206,Berger and Modified Höltje model for cholesterol,298.0,53.1,CHOL:POPC (11:21),0.329,0.0627,0.073,0.0421
747,Charmm-Drude polarizable,308.0,32.0,POPE (1),0.3,0.5584,0.6889,0.2974
352,CHARMM36-UA,310.0,45.4,POPE (1),0.3,0.3822,0.4135,0.3195
529,Slipids,298.0,35.0,POPS (1),0.3,0.1794,0.2129,0.1125
233,CHARMM36-UA,310.0,45.4,POPE (1),0.3,0.3744,0.4252,0.2728
589,Berger and Modified Höltje model for cholesterol,298.0,66.3,CHOL:POPC (9:55),0.2661,0.2744,0.4009,0.0215
680,Lipid17,298.15,50.0,CHOL:POPC (1:8),0.2645,,,
38,Orange,298.0,40.0,POPC (1),0.255,0.2904,0.4069,0.0574
657,Lipid17,298.15,50.0,POPC (1),0.245,0.6659,0.7211,0.5554
684,Lipid17,298.15,50.0,POPC (1),0.245,0.6725,0.7239,0.5697
677,MacRog,298.15,50.0,CHOL:POPC (1:4),0.2258,,,
706,MacRog,298.15,50.0,CHOL:POPC (1:4),0.2258,,,
591,Slipids2020,303.0,40.0,POPC (1),0.222,,,
750,Charmm-Drude polarizable2023,308.0,32.0,POPE (1),0.2,0.5312,0.6491,0.2956
666,Lipid17,298.15,50.0,CHOL:POPC (1:4),0.1742,,,
667,Lipid17,298.15,50.0,CHOL:POPC (1:4),0.1742,,,
814,OPLS4,300.0,45.0,POPC (1),0.155,0.8,0.8361,0.7278
805,OPLS3e,300.0,44.3,POPC (1),0.155,0.8051,0.8422,0.7309
127,ECC-lipids,313.0,50.0,POPC (1),0.1454,,,
715,Lipid17,298.15,50.0,POPC (1),0.145,0.6511,0.7313,0.4905
414,Slipids,310.0,50.0,POPE (1),0.1,0.5215,0.7791,0.0063
365,Poger GROMOS 53A6_L,323.0,45.6,DPPC (1),0.098,,,
593,Poger GROMOS 53A6_L,323.0,45.6,DPPC (1),0.098,,,
376,Slipids,303.0,40.0,POPC (1),0.078,,,
662,Lipid17,298.15,50.0,CHOL:POPC (1:4),0.0742,,,
360,ECC-lipids,313.0,50.0,POPC (1),0.073,,,
93,ECC-lipids,313.0,50.0,POPC (1),0.0453,,,
154,Lipid14,303.0,31.0,POPC (1),0.022,,,
751,Charmm-Drude polarizable2023,308.0,32.0,POPE (1),0.0,0.4751,0.5705,0.2844
